ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Initial_Track_1,Initial_Track_2,Initial_Track_3,Initial_Track_1_Plus,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,QualScore,RecvdMean,Prior_Sav_Adj,RegTrndUpdt,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,prov_Rate_1000,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO8,ACO35,ACO36,ACO37,ACO38,ACO44,ACO43,ACO11,ACO12,ACO13,ACO14,ACO15,ACO16,ACO17,ACO18,ACO19,ACO20,ACO42,ACO40,DM_Comp,ACO27,ACO41,ACO28,ACO30
A1001,"Palm Beach Accountable Care Organization, LLC",FL,Renewal,2,07/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,77372,0.104911788,0.02,112523299,112523299,,50087988,0,1,0.9084,0,269,0,,14182,13678,1072551536,960028237,,,0.5,0.4542,0,Low Revenue,89406,13245,20833,11617,86590,13495,20340,11618,86194,13240,19164,11495,84716,13077,17981,11701,12694,1.054,1.14,1.098,1.147,1.058,1.12,1.082,1.153,1.051,1.13,1.112,1.158,1.022,1.076,1.093,1.149,598,5010,6836,67193,75629,493,4085,5332,65719,6118,32459,25768,13027,44971,32401,67143,4052,462,3183,27,2505,3184,2808,106,258,45,252,722,0,1834,5739,111,918,261,319,296,3,14,6,15,9,830,645,242,754,381,14861,5649,8412,779,21,63,24,10758,0,0,0,0,0,0,442,750,216,92,0,88.33,92.18,90.93,83.54,64.51,60.15,75.18,23.39,15.76,19.71,31.48,70.97,52.75,65.31,1.74,99.71,96.77,92.88,90.1,85.17,95.45,92.86,90.07,90.27,90.8,90.52,22.95,76.89,7.17,80.48,83.21,94.35
A1002,CCACO,"NY, NJ",Renewal,2,04/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,9139,0.132426658,0.030860861,12171874,12171874,,5071450,0,1,0.8503,0,190,0,,10299,9294,91914080,79742206,,,0.5,0.4252,0,Low Revenue,71594,8716,8065,6430,78872,9188,8420,6705,67698,9645,8087,6247,71017,8367,8444,6398,8935,0.948,0.96,0.797,0.925,0.91,1.018,0.787,0.923,0.962,1.007,0.806,0.892,0.917,0.902,0.816,0.809,123,647,7433,1508,8925,133,477,6422,1893,695,3334,3297,1813,5534,3605,449,129,6881,59,3,1618,2258,2133,3,86,38,121,574,0,1512,4158,60,263,149,169,163,0,4,2,9,3,867,290,142,496,271,14779,8847,5604,294,35,24,31,18730,0,0,0,0,0,0,108,191,21,20,0,86.84,90.76,91,80.99,53.24,59.3,68.71,30.22,14.78,18.53,21.31,54.36,34.88,100,1.21,96.15,99.17,75.24,76.67,69.27,92.66,94.12,62.42,59.97,50.66,78.82,0,29.32,9.08,30.72,75.22,77.53
A1006,Hackensack Alliance ACO,"NJ, NY",Renewal,2,04/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,38660,0.101345287,0.023133938,49345826,49345826,,21607983,0,1,0.8937,0,266,0,,12868,12291,486907951,437562125,,,0.5,0.4468,0,Low Revenue,115347,12258,18835,11025,117404,12778,16714,11527,93392,12068,14980,10601,96657,11662,15227,10656,11564,1.069,0.954,1.031,1.065,1.084,1.022,1.012,1.087,1.031,0.979,0.961,1.026,1.001,0.934,0.94,0.994,152,1941,1910,23665,37839,233,2830,2511,32265,3979,17353,11518,5810,22867,15793,31484,2645,1032,1442,17,2040,3243,2950,41,185,95,168,936,0,2408,4267,80,478,183,263,247,1,8,7,14,7,823,573,202,620,281,11551,3686,7176,685,4,61,24,13875,0,0,0,0,1,3,483,581,218,101,5,85.22,93.76,93.44,80.04,63.29,61.56,73.4,26.2,15.53,20.14,35.34,77.4,56.57,72,1.85,99.51,91.61,90.91,83.22,76.21,78.27,94.74,83.39,70.65,74.81,83.36,12.31,45.28,13.52,51.26,74.79,89.44
A1021,NH Accountable Care Partners,"NH, ME, MA",Renewal,2,07/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,54981,-0.000811873,0.0210037,-474368,0,,0,0,1,0.8752,0,0,0,,10871,10166,584288298,584762666,,,0.5,0.4376,0,High Revenue,84833,9627,16829,8964,86736,9528,17453,9296,85996,10308,18313,9325,83838,11298,19508,10020,10880,1.039,0.933,1.067,0.976,1.039,0.933,1.069,0.984,1.022,0.951,1.073,0.964,1.011,0.908,1.028,0.956,209,7350,2461,43492,53745,223,6259,2299,44964,7734,25205,15223,6819,30839,24142,52719,298,183,142,28,1611,3609,3116,22,371,118,265,714,1,2952,2658,132,628,221,308,281,1,18,8,20,9,821,734,215,681,225,9443,2895,4092,2273,183,57,26,11613,0,3,0,0,6,6,1043,1596,664,406,3,85.18,93.57,90.86,78.79,65.42,70.91,74.83,22.16,15.1,18.56,39.41,82.64,60.85,64.23,2.02,99.69,86.01,84.01,71.58,91.43,68.15,66.67,73.37,79.69,81.25,85.53,2.74,55.28,8.29,59.05,71.5,95.06
A1023,"Arizona Connected Care, LLC",AZ,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,9817,0.012312154,0.030182182,1138279,0,,0,0,1,0.8585,0,0,0,,9634,9121,92451634,91313355,,,0.5,0.4292,0,Low Revenue,64461,8553,8592,7996,68419,8288,8049,7996,71225,8573,9897,7908,71016,10255,8692,8840,9516,0.978,1.007,0.773,0.954,1.015,1.018,0.745,0.918,0.935,1.009,0.774,0.941,0.971,1.004,0.727,0.926,88,830,427,5173,9596,86,855,463,8192,1217,4999,2758,843,5607,4210,8456,205,99,413,320,324,3140,2650,70,367,55,132,376,5,1904,3542,157,305,214,278,246,3,21,8,10,6,802,659,165,606,278,9553,2994,4180,1184,1195,39,21,9245,0,49,0,0,0,0,258,87,171,9,0,82.15,93.15,91.2,77.58,57.09,59.46,72.61,18.76,15.14,18.53,33.9,66.68,54.47,60,2.16,92.02,74.28,73.83,70.52,79.87,79.21,78.26,81.05,60.2,73.14,72.67,1.33,41.88,19,50.37,71.89,81.16
A1026,Atlantic ACO,NJ,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,56362,0.007907547,0.020727473,4948613,0,,0,0,1,0.9034,0,0,0,,11369,10408,625808887,620860274,,,0.5,0.4517,0,High Revenue,97333,10164,13986,9233,104648,10639,13928,9449,91172,10540,13676,9531,87442,11320,15801,10614,11279,1.027,0.979,0.948,0.964,1.028,0.973,0.944,0.982,1.019,0.948,0.925,0.966,0.993,0.912,0.952,0.987,300,4604,2278,44764,55043,299,4250,2059,48435,5987,26121,16546,7708,32231,24131,48733,2890,1436,635,11,2657,3400,3038,36,266,89,161,995,0,2235,4135,87,409,163,276,255,1,12,7,15,5,837,555,208,599,231,11144,4013,6319,800,12,70,24,13219,0,6,0,0,5,6,491,528,233,87,1,88.28,93.52,91.86,81.68,62.92,63.19,75.19,19.93,14.6,17.54,34.68,80.41,58.98,65.52,1.52,99.1,92.72,69.03,70.35,68.63,64.2,75,58.8,55.9,61.02,76.45,3.45,42.98,14.04,47.89,80.71,90.5
A1027,"Florida Physicians Trust, LLC",FL,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,12042,0.128450509,0.028774555,20029804,20029804,,8423272,0,1,0.8582,0,164,0,,13308,13208,155934014,135904211,,,0.5,0.4291,0,Low Revenue,82581,12014,18590,10949,80012,11766,19468,11148,69702,12163,19323,10924,83762,10602,16166,10225,11598,1.016,1.11,1.094,1.159,0.984,1.163,1.095,1.167,0.983,1.133,1.13,1.149,0.983,1.049,0.985,1.113,181,1718,963,9396,11718,158,1362,671,9527,1819,5246,3391,1586,6913,5129,9527,1421,257,324,13,500,3349,2993,38,263,62,320,744,0,1791,4443,103,794,291,360,338,1,12,9,26,10,833,739,279,775,284,12715,5958,5669,1068,20,60,25,11140,0,0,0,0,0,0,109,17,43,16,0,90.3,93.23,91.48,82.9,57.84,60.22,72.6,31.24,15.63,18.37,38.57,92.83,64.88,68.18,1.75,96.99,97.6,80.69,77.4,63.09,86.86,86.21,71.31,77.45,74.58,88.49,15.15,54.11,19.86,62.67,78.88,87.6
A1032,"Premier ACO Physicians Network, LLC",CA,Renewal,2,04/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,1,0,0,0,0,0,0,8644,0.050296935,0.031355355,5818439,5818439,,2642280,1,1,0.9268,1,0,0,,13754,12833,115681789,109863349,,,0.5,0.4634,0,Low Revenue,95214,10192,13503,10163,99396,11735,13155,10419,81443,10657,15586,10323,83611,11950,15285,10244,13062,1.009,1.085,0.966,1.109,0.992,1.106,0.944,1.107,0.993,1.073,0.969,1.104,0.979,1.043,1.002,1.022,146,909,1089,5190,8411,194,999,1543,5675,1414,3859,2302,1069,4858,3786,5637,857,719,757,15,659,4206,3611,218,348,91,250,1208,0,2300,4362,113,795,264,327,302,3,13,8,18,7,800,664,240,465,239,11198,4800,6136,254,9,61,29,16869,0,0,0,0,0,0,138,114,27,23,0,83.19,94.75,92.12,82.96,51.78,59.58,71.11,25.1,15.22,18.69,35.99,76.1,58.95,50,1.79,98.32,26.16,59.92,60.77,57.92,76.73,90.91,44.05,54.68,70.28,68.24,2.86,22.38,35.31,27.97,70.64,62.4
A1033,"Advocate Physician Partners Accountable Care, Inc.",IL,Renewal,2,07/01/2012 12:00:00 AM,1,0,0,0,01/01/2016 12:00:00 AM,0,0,0,1,0,0,1,127371,0.025041364,0,37495888,37495888,,15673670,0,1,0.8531,0,77,0,,11995,11166,1497358051,1459862163,,,0.5,0.4265,0,High Revenue,89362,10461,17237,9676,90715,10371,20417,9624,86134,10421,18989,9847,91160,11027,18097,10627,11695,1.028,1.064,1.047,1.057,1.022,1.047,1.101,1.048,1.029,1.012,1.071,1.045,1.019,0.991,1.055,1.039,913,10703,4815,90658,124827,1005,11310,6397,106115,12148,58096,39447,17680,73618,53753,103438,14349,2484,2420,54,4626,3591,3217,70,277,70,351,1043,0,2156,3901,134,701,247,343,321,2,14,7,22,10,822,646,256,624,226,10114,4160,4594,1301,60,85,23,11561,1,10,2,0,9,8,3703,5665,1343,506,39,83.8,94.31,92.55,81.91,61,64.44,74.82,28.94,15.28,20.38,40.43,84.16,66.38,66.23,2.03,99.16,67.24,84.41,67.15,69.87,84.81,88.1,80.17,69.17,70.46,84.04,0,53.82,14.76,59.55,78.95,91.72
A1037,"RGV ACO Health Providers, LLC","TX, NJ",Renewal,2,04/01/2012 12:00:00 AM,0,1,0,0,01/01/2016 12:00:00 AM,0,0,1,0,1,0,1,11333,0.071174792,0.02,10912641,10912641,,7239220,0,1,0.9026,0,757,0,,13826,12521,153321713,142409072,0,0,0.75,0.6769,0,Low Revenue,85578,8965,12762,8878,82051,8941,12849,9186,80802,9268,13060,9348,88948,11089,14013,9948,12842,1.062,1.035,1.002,1.069,1.072,1.029,1.022,1.085,1.022,1,1.013,1.093,1.056,1.098,1.076,1.113,221,1402,2539,6716,11089,250,1312,2675,6853,1491,4564,3700,1578,6662,4671,8667,367,79,1905,8,307,4256,3308,253,709,61,435,878,2,2142,4388,297,660,297,389,338,7,38,6,17,5,818,730,268,570,201,13429,7111,4927,1328,62,57,28,13529,0,0,0,0,0,0,62,3,49,30,0,85.88,92.89,90.59,78.03,67.63,64.73,71.85,26.23,15.58,19.41,34.55,74.28,56.55,70.83,1.62,97.08,98.89,98.21,94.66,91.69,98.69,93.33,90.23,82.08,81.38,91.78,17.61,68.14,10.85,74.07,85.3,95.45
